GO:0004674	Non-specific serine/threonine protein kinase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold318G00780 PE=3 SV=1
GO:0005737	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G535800 PE=4 SV=1
GO:0016020	Lactamase_B domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G536310 PE=4 SV=1
GO:0005634	Auxin response factor OS=Cucumis sativus OX=3659 GN=Csa_1G536820 PE=3 SV=1
GO:0009507	Lipase_3 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G537320 PE=4 SV=1
GO:0005737	Ubiquitin-like domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G537370 PE=4 SV=1
GO:0005634	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G537400 PE=4 SV=1
GO:0016887	Obg-like ATPase 1 OS=Cucumis sativus OX=3659 GN=Csa_1G538160 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G538210 PE=4 SV=1
GO:0005096	ADP-ribosylation factor GTPase-activating protein AGD12-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold178G00530 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G538230 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G538780 PE=3 SV=1
GO:0005739	CHCH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G538810 PE=3 SV=1
GO:0016491	Tetrahydrocannabinolic acid synthase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold1317G00110 PE=3 SV=1
GO:0016491	Cannabidiolic acid synthase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold1317G00260 PE=3 SV=1
GO:0016491	Cannabidiolic acid synthase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold1317G00260 PE=3 SV=1
GO:0016491	cannabidiolic acid synthase-like OS=Cucumis melo OX=3656 GN=LOC103488675 PE=3 SV=1
GO:0016491	Tetrahydrocannabinolic acid synthase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold1317G00390 PE=3 SV=1
GO:0016491	Cannabidiolic acid synthase-like 2 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold1317G00400 PE=3 SV=1
GO:0005634	BHLH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G542450 PE=4 SV=1
GO:0016020	Putative LRR receptor-like protein kinase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold1317G00690 PE=4 SV=1
GO:0005737	C-factor OS=Cucumis melo OX=3656 GN=LOC103488731 PE=4 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G553530 PE=4 SV=1
GO:0005774	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G554570 PE=3 SV=1
GO:0000785	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G554580 PE=4 SV=1
GO:0005634	(1-
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G555090 PE=4 SV=1
GO:0005634	BHLH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G555600 PE=4 SV=1
GO:0000785	sister-chromatid cohesion protein 3 isoform X2 OS=Cucumis melo OX=3656 GN=LOC103492089 PE=4 SV=1
GO:0004672	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G560790 PE=4 SV=1
GO:0005634	Enhancer of polycomb-like protein OS=Cucumis sativus OX=3659 GN=Csa_1G560800 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G560810 PE=3 SV=1
GO:0005634	calmodulin-binding protein 60 G-like isoform X2 OS=Cucumis melo OX=3656 GN=LOC103492119 PE=3 SV=1
GO:0005634	calmodulin-binding protein 60 B-like isoform X2 OS=Cucumis melo OX=3656 GN=LOC103492122 PE=3 SV=1
GO:0004722	PPM-type phosphatase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G568520 PE=4 SV=1
GO:0019005	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G569200 PE=4 SV=1
GO:0005576	Pectinesterase OS=Cucumis sativus OX=3659 GN=Csa_1G569210 PE=3 SV=1
GO:0005576	Pectinesterase OS=Cucumis sativus OX=3659 GN=Csa_1G569220 PE=3 SV=1
GO:0016811	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G570120 PE=3 SV=1
GO:0000786	Histone H2A OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold411G002130 PE=3 SV=1
GO:0005886	Sodium/hydrogen exchanger OS=Cucumis sativus OX=3659 GN=Csa_1G573610 PE=3 SV=1
GO:0016747	N-acetyltransferase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G574230 PE=4 SV=1
GO:0016020	Cytochrome P450 CYP72A219-like protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold16G003160 PE=3 SV=1
GO:0008270	Guanine deaminase OS=Cucumis sativus OX=3659 GN=Csa_1G574840 PE=4 SV=1
GO:0009507	Malic enzyme OS=Cucumis sativus OX=3659 GN=Csa_1G574870 PE=3 SV=1
GO:0005634	Protein-serine/threonine phosphatase OS=Cucumis sativus OX=3659 GN=Csa_1G574880 PE=3 SV=1
GO:0005739	Phosphotransferase OS=Cucumis sativus OX=3659 GN=Csa_1G574970 PE=3 SV=1
GO:0005737	Inositol oxygenase OS=Cucumis sativus OX=3659 GN=Csa_1G575130 PE=3 SV=1
GO:0000815	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000620 PE=4 SV=1
GO:0005634	Meiotic nuclear division protein 1 homolog OS=Cucumis sativus OX=3659 GN=Csa_1G575170 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G575180 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G580190 PE=4 SV=1
GO:0022625	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G580200 PE=3 SV=1
GO:0015031	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G580230 PE=3 SV=1
GO:0000276	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G580240 PE=3 SV=1
GO:0008483	1-aminocyclopropane-1-carboxylate synthase OS=Cucumis sativus OX=3659 GN=ACS2 PE=2 SV=1
GO:0030145	Xaa-Pro dipeptidase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold16G002570 PE=4 SV=1
GO:0005783	Saposin B-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G586770 PE=4 SV=1
GO:0033883	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G586800 PE=4 SV=1
GO:0005743	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G586810 PE=3 SV=1
GO:0005886	Inactive protein kinase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold16G002490 PE=4 SV=1
GO:0003677	probable serine/threonine-protein kinase DDB_G0282963 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103492310 PE=4 SV=1
GO:0016829	uncharacterized protein LOC103492342 OS=Cucumis melo OX=3656 GN=LOC103492342 PE=4 SV=1
GO:0046872	DDE Tnp4 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G589710 PE=3 SV=1
GO:0004674	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G589720 PE=4 SV=1
GO:0005737	Threonine synthase OS=Cucumis sativus OX=3659 GN=Csa_1G590270 PE=3 SV=1
GO:0005615	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G596520 PE=3 SV=1
GO:0005886	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G597020 PE=4 SV=1
GO:0005634	AP2/ERF domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G597730 PE=4 SV=1
GO:0005759	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G597740 PE=3 SV=1
GO:0005737	pumilio homolog 12-like isoform X1 OS=Cucumis melo OX=3656 GN=LOC103492418 PE=4 SV=1
GO:0016592	Mediator of RNA polymerase II transcription subunit 13 OS=Cucumis melo OX=3656 GN=LOC103492426 PE=3 SV=1
GO:0005886	SHSP domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G600110 PE=3 SV=1
GO:0009507	Protochlorophyllide-dependent translocon component 52 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold181G00870 PE=4 SV=1
GO:0005832	CCT-eta OS=Cucumis sativus OX=3659 GN=Csa_1G600870 PE=3 SV=1
GO:0003723	PORR domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G600890 PE=4 SV=1
GO:0005886	Lipid binding protein OS=Cucumis sativus OX=3659 GN=Csa_1G600910 PE=4 SV=1
GO:0016020	short-chain dehydrogenase/reductase 2b-like OS=Cucumis melo OX=3656 GN=LOC103492462 PE=3 SV=1
GO:0005886	LEA_2 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G601000 PE=4 SV=1
GO:0016787	Peptidase_S15 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G605700 PE=4 SV=1
GO:0005634	ENT domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G605710 PE=4 SV=1
GO:0008422	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G611270 PE=3 SV=1
GO:0003729	DYW_deaminase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G612890 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G612900 PE=3 SV=1
GO:1900140	Putative lysine-specific demethylase JMJD5 isoform X1 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold204G00210 PE=4 SV=1
GO:0005634	BHLH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G612950 PE=4 SV=1
GO:0043231	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613480 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613500 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613590 PE=4 SV=1
GO:0009507	Lipase_3 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G614650 PE=4 SV=1
GO:0000176	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G615210 PE=3 SV=1
GO:0005886	(1-
GO:0005634	MIF4G domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G616300 PE=3 SV=1
GO:0031010	DDT domain-containing protein PTM OS=Cucumis melo OX=3656 GN=LOC103492005 PE=4 SV=1
GO:0035451	NAD(P)-bd_dom domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G616860 PE=4 SV=1
GO:0050619	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G616870 PE=3 SV=1
GO:0016020	isoleucine N-monooxygenase 1-like OS=Cucumis melo OX=3656 GN=LOC103491996 PE=3 SV=1
GO:0005634	AT-hook motif nuclear-localized protein OS=Cucumis sativus OX=3659 GN=Csa_1G629020 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G629740 PE=3 SV=1
GO:0045273	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G629760 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G629780 PE=4 SV=1
GO:0009522	Chlorophyll a-b binding protein, chloroplastic OS=Cucumis sativus OX=3659 GN=Csa_1G630330 PE=3 SV=1
GO:0090436	protein IQ-DOMAIN 1 OS=Cucumis melo OX=3656 GN=LOC103487182 PE=4 SV=1
GO:0009570	Choline monooxygenase, chloroplastic OS=Cucumis sativus OX=3659 GN=Csa_1G641020 PE=3 SV=1
GO:0032934	ML domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G641040 PE=4 SV=1
GO:0005737	YTH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G650130 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G650630 PE=4 SV=1
GO:0009507	5-amino-6-(5-phosphoribosylamino)uracil reductase OS=Cucumis sativus OX=3659 GN=Csa_1G655950 PE=4 SV=1
GO:0005737	Isopentenyl-diphosphate Delta-isomerase OS=Cucumis sativus OX=3659 GN=Csa_1G656460 PE=3 SV=1
GO:0008428	4-hydroxy-4-methyl-2-oxoglutarate aldolase OS=Cucumis sativus OX=3659 GN=Csa_1G657460 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G657510 PE=4 SV=1
GO:0003677	zinc finger CCCH domain-containing protein ZFN-like isoform X2 OS=Cucurbita moschata OX=3662 GN=LOC111461480 PE=4 SV=1
GO:0016787	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G659030 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G659040 PE=4 SV=1
GO:0009507	Ribonuclease P OS=Cucumis melo OX=3656 GN=LOC103487238 PE=3 SV=1
GO:0005789	LRRNT_2 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G659090 PE=4 SV=1
GO:0005524	ABC transporter domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G659590 PE=4 SV=1
GO:0043231	DYW_deaminase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G659600 PE=3 SV=1
GO:0005886	Cysteine-rich receptor-like protein kinase 1 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold270G001880 PE=4 SV=1
GO:0004553	Putative xyloglucan endotransglucosylase/hydrolase OS=Cucumis sativus OX=3659 GN=xth30 PE=4 SV=1
GO:0048046	Germin-like protein OS=Cucumis sativus OX=3659 GN=Csa_1G662810 PE=3 SV=1
GO:0005886	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G662820 PE=4 SV=1
GO:0070939	MAG2-interacting protein 2 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold270G002480 PE=4 SV=1
GO:0016020	uncharacterized protein LOC103487477 OS=Cucumis melo OX=3656 GN=LOC103487477 PE=4 SV=1
GO:0005739	TENA_THI-4 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G665890 PE=4 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G665900 PE=4 SV=1
GO:0003729	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G665940 PE=4 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G666450 PE=4 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G666460 PE=4 SV=1
GO:0006952	Bet_v_1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G676602 PE=3 SV=1
GO:0005829	probable low-specificity L-threonine aldolase 1 OS=Cucumis melo OX=3656 GN=LOC103487298 PE=3 SV=1
GO:0005829	probable low-specificity L-threonine aldolase 1 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103494316 PE=3 SV=1
GO:0005730	RNA helicase OS=Cucumis sativus OX=3659 GN=Csa_1G688130 PE=3 SV=1
GO:0030018	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G690140 PE=4 SV=1
GO:0005634	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G690150 PE=3 SV=1
GO:0005634	Auxin-responsive protein OS=Cucumis sativus OX=3659 GN=Csa_1G690240 PE=3 SV=1
GO:0042765	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G690290 PE=3 SV=1
GO:0005744	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G690355 PE=4 SV=1
GO:0009507	uncharacterized protein LOC111439711 OS=Cucurbita moschata OX=3662 GN=LOC111439711 PE=4 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G695420 PE=4 SV=1
GO:0005634	BHLH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G697530 PE=4 SV=1
GO:0005739	Ubiquinol oxidase OS=Cucumis sativus OX=3659 GN=Csa_1G699560 PE=3 SV=1
GO:0016740	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G699630 PE=4 SV=1
GO:0016020	ANK_REP_REGION domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G701200 PE=4 SV=1
GO:0005524	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701900 PE=3 SV=1
GO:0005783	TLC domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G704090 PE=4 SV=1
GO:0005576	Peptidase A1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G704590 PE=3 SV=1
GO:0005768	ras-related protein RABF2b OS=Cucumis melo OX=3656 GN=LOC103498306 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G716250 PE=3 SV=1
GO:0000324	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000660 PE=4 SV=1
GO:0005739	Phosphotransferase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold41G00850 PE=3 SV=1
GO:0005739	Phosphotransferase OS=Cucumis melo OX=3656 GN=LOC103498127 PE=3 SV=1
GO:0016020	cytochrome B5-like protein OS=Cucumis melo OX=3656 GN=LOC103498106 PE=3 SV=1
GO:0005737	uncharacterized protein C3F10.06c isoform X1 OS=Cucumis melo OX=3656 GN=LOC103498092 PE=4 SV=1
GO:0016020	Hexose transporter 4 OS=Cucumis sativus OX=3659 GN=HT4 PE=2 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G006050 PE=4 SV=1
GO:0016020	NADH-cytochrome b5 reductase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold285G00120 PE=3 SV=1
GO:0005868	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G006120 PE=4 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G006130 PE=4 SV=1
GO:0005634	DNA/RNA-binding protein Alba-like protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold285G00150 PE=4 SV=1
GO:0005787	Signal peptidase I OS=Cucumis sativus OX=3659 GN=Csa_2G006150 PE=3 SV=1
GO:0005730	Ribonucloprotein OS=Cucurbita maxima OX=3661 GN=LOC111465723 PE=3 SV=1
GO:0005768	TPT domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G006180 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G006190 PE=4 SV=1
GO:0009707	AIG1-type G domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G008070 PE=3 SV=1
GO:0004540	Barwin domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G010390 PE=4 SV=1
GO:0008957	Aldedh domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G010420 PE=3 SV=1
GO:0005634	Auxin-responsive protein OS=Cucumis sativus OX=3659 GN=Csa_2G011420 PE=3 SV=1
GO:0005737	Non-specific serine/threonine protein kinase OS=Cucumis sativus OX=3659 GN=Csa_2G012110 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G012130 PE=3 SV=1
GO:0016887	TIR domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G020890 PE=4 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G020900 PE=4 SV=1
GO:0009507	J domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G022810 PE=4 SV=1
GO:0005737	Lipoxygenase OS=Cucumis melo OX=3656 GN=LOC103494874 PE=3 SV=1
GO:0005840	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G023860 PE=3 SV=1
GO:0005737	Lipoxygenase OS=Cucumis melo OX=3656 GN=LOC103494895 PE=3 SV=1
GO:0005737	Lipoxygenase OS=Cucumis sativus OX=3659 GN=LOX2 PE=2 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G030000 PE=4 SV=1
GO:0009408	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G032760 PE=4 SV=1
GO:0005634	ATP-dependent DNA helicase OS=Cucumis sativus OX=3659 GN=Csa_2G033360 PE=3 SV=1
GO:0005634	IBB domain-containing protein OS=Hevea brasiliensis OX=3981 GN=GH714_026383 PE=3 SV=1
GO:0005634	BHLH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G035330 PE=4 SV=1
GO:0005634	transcription factor MYB86-like OS=Cucumis melo OX=3656 GN=LOC103493851 PE=4 SV=1
GO:0009506	Germin-like protein OS=Cucumis sativus OX=3659 GN=Csa_2G035370 PE=3 SV=1
GO:0005737	CYTOSOL_AP domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G035480 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G035500 PE=3 SV=1
GO:0000139	Exostosin domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G035510 PE=3 SV=1
GO:0005829	S-adenosylmethionine decarboxylase proenzyme OS=Cucumis sativus OX=3659 GN=Csa_2G036680 PE=3 SV=1
GO:0005829	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G036690 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G047780 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G047790 PE=4 SV=1
GO:0005737	Xylose isomerase OS=Cucumis sativus OX=3659 GN=Csa_2G049960 PE=3 SV=1
GO:0016614	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G627390 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G055560 PE=3 SV=1
GO:0016614	GMC_OxRdtase_N domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G057070 PE=3 SV=1
GO:0009535	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G058660 PE=4 SV=1
GO:0005634	Auxin-responsive protein OS=Cucumis sativus OX=3659 GN=Csa_2G059200 PE=3 SV=1
GO:0005875	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G059730 PE=3 SV=1
GO:0022627	40S ribosomal protein S8 OS=Cucumis sativus OX=3659 GN=Csa_2G059750 PE=3 SV=1
GO:0005634	PHD_Oberon domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G059760 PE=4 SV=1
GO:0005886	Plasma membrane ATPase OS=Cucumis sativus OX=3659 GN=HA2 PE=2 SV=1
GO:0005737	Glucose-6-phosphate 1-epimerase OS=Cucumis sativus OX=3659 GN=Csa_2G060380 PE=3 SV=1
GO:0005634	transcription factor bHLH35-like isoform X2 OS=Cucumis melo OX=3656 GN=LOC103492501 PE=4 SV=1
GO:0005634	Auxin response factor OS=Cucumis sativus OX=3659 GN=Csa_2G068680 PE=3 SV=1
GO:0016020	cytochrome P450 CYP73A100-like OS=Cucurbita maxima OX=3661 GN=LOC111491732 PE=3 SV=1
GO:0004252	PDZ_3 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G072480 PE=3 SV=1
GO:0000781	ATP-dependent helicase ATRX OS=Cucumis melo OX=3656 GN=LOC103485842 PE=3 SV=1
GO:0005737	YL1_C domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G077540 PE=4 SV=1
GO:0031640	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G077550 PE=3 SV=1
GO:0005829	LOW QUALITY PROTEIN: eIF-2-alpha kinase activator GCN1 OS=Cucumis melo OX=3656 GN=LOC103485854 PE=3 SV=1
GO:0016747	fatty alcohol:caffeoyl-CoA acyltransferase OS=Cucurbita maxima OX=3661 GN=LOC111465536 PE=3 SV=1
GO:0043531	NB-ARC domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G096930 PE=4 SV=1
GO:0005576	Expansin OS=Cucumis sativus OX=3659 GN=Csa_2G100530 PE=3 SV=1
GO:0003677	HTH myb-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G100560 PE=3 SV=1
GO:0005956	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G120920 PE=4 SV=1
GO:0016157	Sucrose-phosphate synthase OS=Cucumis sativus OX=3659 PE=2 SV=1
GO:0005829	IU_nuc_hydro domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G129140 PE=3 SV=1
GO:0005777	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G129150 PE=3 SV=1
GO:0005737	Elongation factor 1-alpha OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold275G001000 PE=3 SV=1
GO:0005730	DEAD-box ATP-dependent RNA helicase 13 OS=Cucurbita moschata OX=3662 GN=LOC111464380 PE=4 SV=1
GO:0005634	myb-related protein 305-like OS=Cucumis melo OX=3656 GN=LOC103499467 PE=4 SV=1
GO:0009507	Methionine aminopeptidase OS=Cucumis melo OX=3656 GN=LOC103499439 PE=3 SV=1
GO:0000243	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G172520 PE=4 SV=1
GO:0000159	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G174090 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G190730 PE=4 SV=1
GO:0005524	Zeta_toxin domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G191300 PE=4 SV=1
GO:0004020	Sulfate adenylyltransferase OS=Cucumis sativus OX=3659 GN=Csa_2G215520 PE=4 SV=1
GO:0005737	Perakine reductase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold280G003330 PE=4 SV=1
GO:0005634	BIG SEEDS 1 OS=Cucumis sativus OX=3659 GN=BS1 PE=2 SV=1
GO:0005634	CHZ domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G232480 PE=4 SV=1
GO:0003677	HTH myb-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G236120 PE=4 SV=1
GO:0043229	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G238860 PE=4 SV=1
GO:0005886	(1-
GO:0005737	Adenylyl cyclase-associated protein OS=Cucumis sativus OX=3659 GN=Csa_2G246530 PE=3 SV=1
GO:0016020	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G246540 PE=4 SV=1
GO:0035198	Small RNA binding protein 1 OS=Cucumis sativus OX=3659 GN=Csa_2G247040 PE=2 SV=1
GO:0016298	AB hydrolase-1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G247580 PE=4 SV=1
GO:0005634	Transcription factor bHLH78 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold303G00550 PE=4 SV=1
GO:0016787	Universal stress protein PHOS32 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold303G00530 PE=4 SV=1
